# Position c_coord[0]
-0.00885125 6
-0.00798977 5
-0.00701541 6
-0.00588721 6
-0.00510215 7
-0.0045459 6
-0.00371544 6
-0.00272601 7
-0.00156777 5
-0.000263575 5
-0.000883706 6
-0.00951559 4
-0.00852684 7
-0.00759736 8
-0.00636594 7
-0.00518621 6
-0.00408856 5
-0.00314861 9
-0.00262275 7
-0.00217496 5
-0.00075607 5
-6.18334e-05 7
-0.00950504 4
-0.00803701 6
-0.00894656 8
-0.00704218 6
-0.00611411 8
-0.00644257 8
-0.00558021 8
-0.00473488 4
-0.00372675 8
-0.00274067 6
-0.00123188 8
-0.00179174 6
-0.000772887 7
-5.93884e-05 6
-0.00951041 5
-0.00878139 5
-0.00784914 7
-0.00785455 7
-0.00684835 7
-0.00508878 7
-0.00419236 6
-0.0026025 5
-0.00161351 6
-0.000746183 6
-0.000155996 7
-0.0094844 4
-0.00847377 7
-0.00760527 7
-0.00712828 6
-0.00595786 7
-0.00589419 6
-0.00496064 5
-0.00420269 8
-0.00332152 7
-0.00264398 6
-0.00196544 4
-0.000941916 5
-0.00951224 4
-0.00896738 6
-0.00857258 6
-0.00650859 6
-0.00626214 5
-0.00529182 6
-0.00445259 7
-0.00343194 8
-0.00229205 7
-0.00138151 5
-0.000479458 7
-0.0095278 3
-0.00800011 5
-0.00704171 5
-0.00524884 4
-0.0059366 7
-0.0042975 5
-0.00365145 8
-0.00290684 6
-0.00151057 8
-0.00195295 6
-0.000221492 6
-0.000977191 6
-6.74365e-06 8
-0.0089763 6
-0.00824233 6
-0.00804066 5
-0.00702774 5
-0.0060505 1
-0.00441111 5
-0.00344622 8
-0.00373127 8
-0.00178509 6
-0.00114692 6
-0.000350154 9
-0.00951798 4
-0.0088414 6
-0.0071342 5
-0.00792284 7
-0.00683385 8
-0.00611375 5
-0.00459749 7
-0.003765 6
-0.00226496 7
-0.00296009 3
-0.00163871 10
-0.000193359 5
-0.000523822 5
-0.00953958 4
-0.00819775 7
-0.00878097 5
-0.00728186 6
-0.0078425 8
-0.00665479 7
-0.00563955 5
-0.00458986 6
-0.00494868 4
-0.0037141 5
-0.00276923 6
-0.00205474 7
